,Title,published_date,Views,Likes,Dislikes,Comments,Month
0,Moving On,2024-04-22,9314,426,0,90,Apr
1,How Does ChatGPT Image Analysis Do on an IQ Test?,2023-11-30,2906,75,0,24,Nov
2,A Data Dream Come True,2023-11-17,2340,95,0,23,Nov
3,The Death of the Full-Time Job (Rise of the Contractor),2023-09-22,6292,413,0,77,Sep
4,How to Survive a Down Data Job Market,2023-09-05,17458,578,0,63,Sep
5,The Harsh Reality of the Data Job Market,2023-08-24,108397,2612,0,288,Aug
6,7 Industries AI will Aggressively Disrupt,2023-08-14,6473,249,0,42,Aug
7,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,4439,133,0,48,Aug
8,7 Enticing Jobs AI Will Create,2023-07-24,4835,199,0,37,Jul
9,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4192,144,0,31,Jul
10,Exciting Announcement!,2023-06-23,6693,297,0,50,Jun
11,AI: A Customer Service Revolution?,2023-05-26,3996,123,0,35,May
12,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,51981,1635,0,60,May
13,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,35493,1475,0,77,May
14,This AI question will determine our future,2023-04-06,4321,262,0,37,Apr
15,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,71490,834,0,78,Apr
16,Your current portfolio is actually hurting you #shorts,2023-03-30,8904,501,0,7,Mar
17,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,7875,418,0,2,Mar
18,you're job searching wrong. #shorts,2023-03-23,4530,269,0,3,Mar
19,The Economics of Data Roles #shorts,2023-03-21,10391,626,0,13,Mar
20,Why your phone knows everything you say #shorts,2023-03-18,3656,170,0,8,Mar
21,Read these for a successful career. #shorts,2023-03-16,3261,255,0,2,Mar
22,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2949,56,0,5,Mar
23,How I Realized I Was a Bad Manager #shorts,2023-03-07,3045,142,0,1,Mar
24,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,20885,773,0,49,Mar
25,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,8681,280,0,13,Mar
26,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2821,172,0,2,Feb
27,Learning On the companies dime #shorts,2023-02-24,3267,177,0,1,Feb
28,The Best Way to Transition to Data Science? #shorts,2023-02-21,4586,281,0,6,Feb
29,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,7381,411,0,6,Feb
30,Don't Go into Data for the Money #shorts,2023-02-15,3837,220,0,12,Feb
31,First Data Science Project? Watch This.,2023-02-13,7929,377,0,24,Feb
32,How to Approach Applying for a Data Role #shorts,2023-02-08,3710,245,0,7,Feb
33,The Hard Reality of Data Science Work #shorts,2023-02-06,17275,907,0,18,Feb
34,How Much Money Does a Data Scientist Make? #shorts,2023-02-03,5015,199,0,6,Feb
35,These 3 Things Make Data Science Special #shorts,2023-02-01,4451,350,0,7,Feb
36,Will Data Science Be Automated? #shorts,2023-01-27,10517,437,0,9,Jan
37,Is Data Science A Good Fit For You? #shorts,2023-01-25,5310,300,0,10,Jan
38,5 Books I Wish I Read Earlier In My Career,2023-01-23,9721,524,0,51,Jan
39,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19,10554,818,0,16,Jan
40,What Data Science Tool Would I Learn First? #shorts,2023-01-17,6440,476,0,10,Jan
41,How long does it take to become a Data Scientist? #shorts,2023-01-12,7883,530,0,8,Jan
42,Where & how to start your Data Science Journey #shorts,2023-01-09,7205,429,0,3,Jan
43,How I Would NOT Learn Data Science in 2023.,2023-01-03,129002,4196,0,256,Jan
44,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14,4991,208,0,28,Dec
45,The Essential Programming Concepts For Learning Data Science,2022-11-14,20891,859,0,46,Nov
46,The Data Content House: What You Missed,2022-10-07,10612,348,0,49,Oct
47,Is Data Science A Good Career?,2022-09-29,64098,1981,0,140,Sep
48,IRON ANALYST (Teaser) #shorts,2022-09-27,5677,363,0,22,Sep
49,When a New Data Scientist Joins The Team,2022-08-29,16808,755,0,134,Aug
50,State of Data Science - Web Data,2022-08-05,10498,351,0,34,Aug
51,Data Science Town Hall - State of Data Science,2022-08-04,10019,367,0,37,Aug
52,The Programming Roadmap For Data Science,2022-07-29,28428,1322,0,63,Jul
53,5 Impactful Data Science Projects For Your Portfolio,2022-06-27,98853,3511,0,94,Jun
54,Can AI Fix my Baseball Swing?,2022-06-10,7958,347,0,68,Jun
55,Every Data Scientist... (funny!),2022-05-24,17713,860,0,146,May
56,State of Data Science (Town Hall) ft - Data Squad,2022-05-07,16022,425,0,64,May
57,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04,72628,1772,0,85,Apr
58,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25,22218,910,0,110,Mar
59,Data Scientists VS NFT Scam,2022-03-03,5005,189,0,41,Mar
60,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21,11420,514,0,144,Feb
61,What Professional Data Scientists ACTUALLY Do,2022-02-14,101122,3466,0,187,Feb
62,Can You Analyze My Data Better Than I Can?,2022-01-31,7576,324,0,60,Jan
63,Giving Back to My Most Engaged Subscribers!,2022-01-28,2340,118,0,87,Jan
64,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24,59058,1364,0,150,Jan
65,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17,9023,427,0,82,Jan
66,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14,8663,255,0,33,Jan
67,The Only Data Science Explanation You Need,2022-01-10,69800,2317,0,172,Jan
68,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03,14595,645,0,144,Jan
69,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27,345609,15000,0,531,Dec
70,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17,16640,521,0,68,Dec
71,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10,8124,572,0,25,Dec
72,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03,25148,1184,0,143,Dec
73,Why Is Data Engineering So HOT Right Now?,2021-11-26,29798,1100,0,137,Nov
74,Is Data Science Dying?,2021-11-19,126264,3904,0,361,Nov
75,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8614,401,0,113,Nov
76,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3654,202,0,44,Nov
77,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,14369,305,0,39,Oct
78,ML Ops: What is it REALLY?,2021-10-22,7298,286,0,66,Oct
79,Business Skills for Data Science: What are they REALLY?,2021-10-18,6964,303,0,50,Oct
